number,title,type,url,engagement_kinds,created_at,updated_at,organization,repository,contributor
3947,Allow s3 testing in face of ambient AWS credentials,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3947,comment,2026-05-05T23:31:09Z,2026-08-04T02:33:24Z,zarr-developers,zarr-python,d-v-b
3951,chore(deps): bump the actions group with 5 updates,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3951,comment,2026-05-07T04:41:27Z,2026-08-08T22:00:38Z,zarr-developers,zarr-python,d-v-b
3955,Fix V3 time types,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3955,comment,2026-05-07T22:39:58Z,2026-08-05T23:01:59Z,zarr-developers,zarr-python,d-v-b
3957,Fix minor typos,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3957,comment,2026-05-09T03:44:28Z,2026-08-08T10:33:57Z,zarr-developers,zarr-python,chuckwondo
3957,Fix minor typos,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3957,comment,2026-05-09T03:44:28Z,2026-08-08T10:33:57Z,zarr-developers,zarr-python,d-v-b
3966,fix: allow writing to 0-dimensional arrays with sharding,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3966,comment,2026-05-11T23:16:19Z,2026-08-12T11:30:56Z,zarr-developers,zarr-python,chuckwondo
3966,fix: allow writing to 0-dimensional arrays with sharding,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3966,comment,2026-05-11T23:16:19Z,2026-08-12T11:30:56Z,zarr-developers,zarr-python,d-v-b
3970,chore(deps): bump the actions group with 2 updates,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3970,comment,2026-05-14T04:39:01Z,2026-08-12T13:01:12Z,zarr-developers,zarr-python,d-v-b
3972,chore: run mypy from developer environment,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3972,comment,2026-05-14T09:20:34Z,2026-08-13T15:31:12Z,zarr-developers,zarr-python,chuckwondo
3982,feat(zarr-metadata): partial metadata types,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3982,comment,2026-05-18T21:47:32Z,2026-08-16T22:30:51Z,zarr-developers,zarr-python,chuckwondo
3985,[lazy indexing] lazy indexing tracking issue,Issue,https://github.com/zarr-developers/zarr-python/issues/3985,comment,2026-05-19T08:25:26Z,2026-08-02T10:29:59Z,zarr-developers,zarr-python,d-v-b
3988,Do not install CuPy on darwin,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3988,comment,2026-05-20T10:35:39Z,2026-08-18T11:31:04Z,zarr-developers,zarr-python,d-v-b
3990,Widen ChunksLike type alias,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3990,comment,2026-05-20T19:03:20Z,2026-08-18T20:00:32Z,zarr-developers,zarr-python,d-v-b
3991,Release Zarr-Python v3.2.2,Issue,https://github.com/zarr-developers/zarr-python/issues/3991,comment,2026-05-20T20:14:10Z,2026-07-16T17:43:49Z,zarr-developers,zarr-python,d-v-b
4003,fix(FsspecStore): close owned async filesystem on store.close(),PullRequest,https://github.com/zarr-developers/zarr-python/pull/4003,comment,2026-05-23T23:18:06Z,2026-07-20T13:51:51Z,zarr-developers,zarr-python,d-v-b
4028,Add sparse-read primitives: `shards_initialized` and `read_regions`,PullRequest,https://github.com/zarr-developers/zarr-python/pull/4028,comment,2026-06-03T19:21:12Z,2026-08-01T15:06:52Z,zarr-developers,zarr-python,d-v-b
4030,fix(storage): remove VerboseModule to make zarr.storage picklable (gh-4029),PullRequest,https://github.com/zarr-developers/zarr-python/pull/4030,comment,2026-06-03T23:10:59Z,2026-07-12T03:22:03Z,zarr-developers,zarr-python,d-v-b
4034,refactor: one array class,PullRequest,https://github.com/zarr-developers/zarr-python/pull/4034,comment,2026-06-04T11:28:10Z,2026-08-04T16:47:53Z,zarr-developers,zarr-python,kylebarron
4040,poc: ChunkLayout for chunk and shard inspection,PullRequest,https://github.com/zarr-developers/zarr-python/pull/4040,comment,2026-06-05T17:50:58Z,2026-07-31T20:58:51Z,zarr-developers,zarr-python,d-v-b
4042,prototype for negative caching in StoreCache,PullRequest,https://github.com/zarr-developers/zarr-python/pull/4042,comment,2026-06-05T18:35:28Z,2026-08-14T14:45:00Z,zarr-developers,zarr-python,d-v-b
4056,"[docs] very basic zarr tutorial -- ""zarr for absolute beginners""",Issue,https://github.com/zarr-developers/zarr-python/issues/4056,comment,2026-06-10T15:38:01Z,2026-08-17T22:24:33Z,zarr-developers,zarr-python,chuckwondo
4063,Add unified JSON metadata validation via msgspec (#3285),PullRequest,https://github.com/zarr-developers/zarr-python/pull/4063,comment,2026-06-15T06:08:58Z,2026-08-13T15:06:53Z,zarr-developers,zarr-python,chuckwondo
4063,Add unified JSON metadata validation via msgspec (#3285),PullRequest,https://github.com/zarr-developers/zarr-python/pull/4063,"comment,review",2026-06-15T06:08:58Z,2026-08-13T15:06:53Z,zarr-developers,zarr-python,d-v-b
